"Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size","Amazon_Price_transformed"
10900,"Police Bike","DUPLO",8,9.99,8.99,2019,"Ages_2+",10,1,"Box","0.18Kg (0.4 lb)",7,"Retail","Large",1.93253740016121
10927,"Pizza Stand","DUPLO",18,9.99,8.99,2020,"Ages_2+",12,1,"Box",NA,15,"Retail","Large",1.93253740016121
41360,"Emma's Mobile Veterinary Clinic","Friends",50,9.99,8.99,2019,"Ages_4+",28,1,NA,"0.1Kg (0.22 lb)",35,NA,"Small",1.93253740016121
60212,"Barbecue Burn Out","City",64,9.99,8.99,2019,"Ages_4+",28,2,"Box","0.13Kg (0.29 lb)",45,"Retail","Small",1.93253740016121
60251,"Monster Truck","City",55,9.99,8.99,2020,"Ages_5+",32,1,"Box","0.14Kg (0.31 lb)",34,"Retail","Small",1.93253740016121
60206,"Jet Patrol","City",54,9.99,8.99,2019,"Ages_4+",36,2,"Box","0.14Kg (0.32 lb)",45,"Retail","Small",1.93253740016121
60219,"Construction Loader","City",88,9.99,8.99,2019,"Ages_5+",36,1,"Box","0.16Kg (0.34 lb)",50,"Retail","Small",1.93253740016121
60255,"Stunt Team","City",62,9.99,8.99,2020,"Ages_5+",36,2,"Box","0.1Kg (0.23 lb)",34,"Retail","Small",1.93253740016121
71706,"Cole's Speeder Car","NINJAGO",52,9.99,8.99,2020,"Ages_4+",36,2,"Box",NA,32,"Retail","Small",1.93253740016121
41389,"Ice Cream Cart","Friends",97,9.99,8.99,2020,"Ages_6+",40,1,"Box",NA,60,"Retail","Small",1.93253740016121
41396,"Puppy Playground","Friends",57,9.99,8.99,2020,"Ages_4+",40,1,"Box",NA,41,"Retail","Small",1.93253740016121
60241,"Police Dog Unit","City",67,9.99,8.99,2020,"Ages_4+",40,2,"Box","0.12Kg (0.28 lb)",48,"Retail","Small",1.93253740016121
75263,"Resistance Y-wing Microfighter","Star Wars",86,9.99,8.99,2020,"Ages_6+",40,1,"Box",NA,44,"Retail","Small",1.93253740016121
60249,"Street Sweeper","City",89,9.99,8.99,2020,"Ages_5+",48,1,"Box","0.14Kg (0.31 lb)",55,"Retail","Small",1.93253740016121
60250,"Mail Plane","City",74,9.99,8.99,2020,"Ages_5+",52,1,"Box","0.15Kg (0.33 lb)",55,"Retail","Small",1.93253740016121
60224,"Satellite Service Mission","City",84,9.99,8.99,2019,"Ages_5+",56,1,"Box","0.15Kg (0.34 lb)",52,"Retail","Small",1.93253740016121
60247,"Forest Fire","City",84,9.99,8.99,2020,"Ages_5+",56,1,"Box","0.13Kg (0.3 lb)",49,"Retail","Small",1.93253740016121
71700,"Jungle Raider","NINJAGO",127,9.99,8.99,2020,"Ages_7+",60,1,"Box",NA,61,"Retail","Small",1.93253740016121
41451,"Unikitty Cloud Car","Unikitty!",126,9.99,9.17,2018,"Ages_5-12",60,3,"Box","0.14Kg (0.31 lb)",83,"Retail","Small",1.94406508590289
10860,"My First Race Car","DUPLO",6,4.99,9.45,2018,"Ages_1½-3",9,NA,"Box","0.13Kg (0.29 lb)",6,"Retail","Large",1.96168622538034
60263,"Ocean Mini-Submarine","City",41,9.99,9.49,2020,"Ages_4+",37,1,"Box","0.13Kg (0.28 lb)",30,"Retail","Small",1.96417357391938
41425,"Olivia's Flower Garden","Friends",92,9.99,9.49,2020,"Ages_6+",48,2,"Box",NA,61,"Retail","Small",1.96417357391938
43173,"Aurora's Royal Carriage","Disney",62,9.99,9.72,2020,"Ages_5+",28,1,"Box",NA,35,"Retail","Small",1.97833520513071
71716,"Lloyd Avatar - Arcade Pod","NINJAGO",48,9.99,9.84,2020,"Ages_7+",3,2,"Box with backing card",NA,28,"Retail","Small",1.98563093162195
43170,"Moana's Ocean Adventure","Disney",46,9.99,9.84,2020,"Ages_6+",36,1,"Box",NA,39,"Retail","Small",1.98563093162195
21162,"The Taiga Adventure","Minecraft",74,9.99,9.84,2020,"Ages_7+",40,2,"Box",NA,48,"Retail","Small",1.98563093162195
75264,"Kylo Ren's Shuttle Microfighter","Star Wars",72,9.99,9.84,2020,"Ages_6+",40,1,"Box",NA,40,"Retail","Small",1.98563093162195
76141,"Thanos Mech","Marvel",152,9.99,9.84,2020,"Ages_6+",56,1,"Box",NA,62,"Retail","Small",1.98563093162195
76140,"Iron Man Mech","Marvel",148,9.99,9.84,2020,"Ages_6+",64,1,"Box",NA,61,"Retail","Small",1.98563093162195
76146,"Spider-Man Mech","Marvel",152,9.99,9.84,2020,"Ages_6+",68,1,"Box",NA,62,"Retail","Small",1.98563093162195
31099,"Propeller Plane","Creator 3-in-1",128,9.99,9.84,2020,"Ages_6+",112,NA,"Box",NA,50,"Retail","Small",1.98563093162195
31100,"Sports Car","Creator 3-in-1",134,9.99,9.84,2020,"Ages_6+",120,NA,"Box",NA,60,"Retail","Small",1.98563093162195
76158,"Batboat The Penguin Pursuit!","Batman",54,9.99,9.89,2020,"Ages_4+",44,2,"Box",NA,41,"Retail","Small",1.98865244032508
11001,"Bricks and Ideas","Classic",123,9.99,9.97,2019,"Ages_4+",42,NA,NA,"0.17Kg (0.37 lb)",59,NA,"Small",1.99346469015063
76089,"Mighty Micros: Scarlet Spider vs. Sandman","Marvel",89,9.99,9.99,2018,"Ages_5-12",7,2,"Box",NA,49,"Retail","Small",1.99466352665305
10870,"Farm Animals","DUPLO",16,9.99,9.99,2018,"Ages_2-5",8,NA,"Box",NA,13,NA,"Large",1.99466352665305
10898,"My First Mickey Build","Disney",9,9.99,9.99,2019,"Ages_1½+",10,NA,"Box","0.24Kg (0.53 lb)",8,"Retail","Small",1.99466352665305
60191,"Arctic Exploration Team","City",70,9.99,10,2018,"Ages_5-12",28,3,"Box","0.12Kg (0.26 lb)",47,"Retail","Small",1.99526231496888
21157,"BigFig Pig with Baby Zombie","Minecraft",159,14.99,10.99,2020,"Ages_7+",40,NA,"Box",NA,47,"Retail","Small",2.05257628910764
31087,"Dune Buggy","Creator 3-in-1",147,12.99,11.92,2019,"Ages_6+",120,NA,"Box","0.25Kg (0.55 lb)",65,"Retail","Small",2.10321115552359
21156,"BigFig Creeper and Ocelot","Minecraft",184,14.99,11.99,2020,"Ages_7+",48,NA,"Box",NA,65,"Retail","Small",2.10690888662983
31101,"Monster Truck","Creator 3-in-1",163,14.99,11.99,2020,"Ages_7+",136,NA,"Box",NA,54,"Retail","Small",2.10690888662983
60237,"Curves & Crossroad","City",2,14.99,11.99,2019,"Ages_5+",NA,NA,"Shrink-wrapped","0.2Kg (0.44 lb)",2,"Retail","Small",2.10690888662983
70822,"Unikitty's Sweetest Friends EVER!","THE LEGO MOVIE 2",76,9.99,12.5,2019,"Ages_5+",36,3,"Box","0.08Kg (0.18 lb)",50,"Retail","Small",2.13340350322324
41357,"Olivia's Heart Box","Friends",85,7.99,12.89,2019,"Ages_6+",32,2,NA,"0.14Kg (0.31 lb)",38,NA,"Small",2.15315787818005
42101,"Buggy","Technic",117,12.99,12.93,2020,"Ages_7+",48,NA,"Box",NA,47,"Retail","Small",2.15516019632611
75891,"Chevrolet Camaro ZL1 Race Car","Speed Champions",198,14.99,12.93,2019,"Ages_7+",60,1,"Box","0.23Kg (0.51 lb)",81,"Retail","Small",2.15516019632611
75892,"McLaren Senna","Speed Champions",219,14.99,12.93,2019,"Ages_7+",64,1,"Box","0.25Kg (0.55 lb)",92,"Retail","Small",2.15516019632611
31086,"Futuristic Flyer","Creator 3-in-1",157,14.99,12.93,2019,"Ages_7+",136,NA,"Box","0.27Kg (0.59 lb)",65,"Retail","Small",2.15516019632611
31088,"Deep Sea Creatures","Creator 3-in-1",230,14.99,12.93,2019,"Ages_7+",176,NA,"Box","0.31Kg (0.68 lb)",83,"Retail","Small",2.15516019632611
41607,"Gamora","BrickHeadz",136,9.99,12.98,2018,"Ages_10+",48,NA,"Box",NA,51,"Retail","Small",2.15765700570887
42102,"Mini CLAAS XERION","Technic",130,12.99,12.99,2020,"Ages_7+",56,NA,"Box",NA,45,"Retail","Small",2.15815555935837
75895,"1974 Porsche 911 Turbo 3.0","Speed Champions",180,14.99,13.29,2019,"Ages_7+",80,1,"Box",NA,75,"Retail","Small",2.17298883198919
75266,"Sith Troopers Battle Pack","Star Wars",105,14.99,13.47,2020,"Ages_6+",40,3,"Box",NA,51,"Retail","Small",2.18177659583728
75267,"Mandalorian Battle Pack","Star Wars",102,14.99,13.47,2020,"Ages_6+",44,4,"Box",NA,59,"Retail","Small",2.18177659583728
10714,"Blue Baseplate","Classic",1,7.99,13.48,2018,"Ages_4-99",NA,NA,NA,"0.1Kg (0.22 lb)",1,"Retail","Small",2.18226238869444
10925,"Playroom","DUPLO",17,14.99,13.49,2020,"Ages_2+",2,2,"Box",NA,16,"Retail","Large",2.18274792935073
60236,"Straight & T-Junction","City",2,14.99,13.49,2019,"Ages_5+",NA,NA,"Shrink-wrapped","0.2Kg (0.44 lb)",2,"Retail","Small",2.18274792935073
75246,"Death Star Cannon","Star Wars",159,19.99,13.85,2019,"Ages_7+",80,2,"Box",NA,79,"Retail","Small",2.20006206161197
10401,"Rainbow Fun","Classic",85,4.99,14,2018,"Ages_5-99",37,NA,"Box",NA,42,"Retail","Small",2.20718334665857
41608,"Han Solo","Star Wars",141,9.99,14,2018,"Ages_10+",44,NA,"Box",NA,51,"Retail","Small",2.20718334665857
76094,"Mighty Micros: Supergirl vs. Brainiac",NA,80,9.99,14.09,2018,"Ages_5-12",7,2,"Box",NA,50,"Retail",NA,2.21143051453853
60190,"Arctic Ice Glider","City",50,6.99,14.14,2018,"Ages_5-12",28,1,"Box","0.08Kg (0.17 lb)",30,"Retail","Small",2.21378185172086
41169,"Olaf","LEGO Frozen 2",122,14.99,14.24,2019,"Ages_6+",52,NA,"Box",NA,61,"Retail","Small",2.21846712198116
60238,"Switch Tracks","City",8,15.99,14.39,2018,"Ages_5-12",NA,NA,"Box","0.28Kg (0.62 lb)",4,"Retail","Small",2.22545203386144
70682,"Spinjitzu Slam - Jay","NINJAGO",72,9.99,14.43,2019,"Ages_7+",44,1,"Box",NA,37,"Retail","Small",2.22730606329891
71372,"Cat Mario Power-Up Pack","LEGO Super Mario",11,9.99,14.52,2020,"Ages_6+",NA,NA,"Box",NA,9,"Retail","Small",2.23146451437068
41385,"Emma's Summer Heart Box","Friends",86,7.99,14.67,2019,"Ages_6+",36,1,"Other",NA,45,"Retail","Small",2.23835535044792
41905,"Rainbow Jewellery Stand","DOTS",213,14.99,14.97,2020,"Ages_6+",4,NA,"Plastic canister",NA,42,"Retail","Small",2.25199042733589
10926,"Bedroom","DUPLO",16,14.99,14.99,2020,"Ages_2+",2,2,"Box",NA,16,"Retail","Large",2.25289260697072
41904,"Animal Picture Holders","DOTS",423,14.99,14.99,2020,"Ages_6+",4,NA,"Plastic canister",NA,54,"Retail","Small",2.25289260697072
41356,"Stephanie's Heart Box","Friends",85,7.99,14.99,2019,"Ages_6+",32,1,NA,"0.13Kg (0.29 lb)",36,NA,"Small",2.25289260697072
41384,"Andrea's Summer Heart Box","Friends",83,7.99,14.99,2019,"Ages_6+",36,1,"Other",NA,46,"Retail","Small",2.25289260697072
70645,"Cole - Dragon Master","NINJAGO",92,14.99,14.99,2018,"Ages_8-14",48,1,"Box",NA,54,"Retail","Small",2.25289260697072
70665,"The Samurai Mech","NINJAGO",154,14.99,14.99,2019,"Ages_7+",48,3,"Box","0.16Kg (0.35 lb)",71,"Retail","Small",2.25289260697072
70824,"Introducing Queen Watevra Wa'Nabi","THE LEGO MOVIE 2",115,19.99,14.99,2019,"Ages_6+",48,4,"Box","0.24Kg (0.53 lb)",82,"Retail","Small",2.25289260697072
75890,"Ferrari F40 Competizione","Speed Champions",198,14.99,14.99,2019,"Ages_7+",56,1,"Box","0.22Kg (0.48 lb)",72,"Retail","Small",2.25289260697072
31092,"Helicopter Adventure","Creator 3-in-1",114,9.99,15.04,2019,"Ages_6+",92,NA,"Box","0.19Kg (0.42 lb)",68,"Retail","Small",2.25514437558881
70681,"Spinjitzu Slam - Lloyd","NINJAGO",70,9.99,15.28,2019,"Ages_7+",44,1,"Box",NA,34,"Retail","Small",2.26588052267047
41408,"Mia's Play Cube - Cinema","Friends",37,9.99,15.32,2020,"Ages_6+",5,1,"Box",NA,31,"Retail","Small",2.26765838198595
71370,"Fire Mario Power-Up Pack","LEGO Super Mario",11,9.99,15.56,2020,"Ages_6+",NA,NA,"Box",NA,9,"Retail","Small",2.27825786278054
70680,"Monastery Training","NINJAGO",122,9.99,15.64,2019,"Ages_6+",40,2,"Box","0.13Kg (0.29 lb)",65,"Retail","Small",2.28176558011669
70848,"Systar Party Crew","THE LEGO MOVIE 2",196,19.99,15.66,2019,"Ages_7+",80,2,"Box",NA,104,"Retail","Small",2.28264054625566
41453,"Party Time","Unikitty!",214,19.99,15.95,2018,"Ages_6-12",80,4,"Box","0.27Kg (0.59 lb)",119,"Retail","Small",2.29524054066898
43174,"Mulan's Storybook Adventures","Disney",124,19.99,15.99,2020,"Ages_5+",3,3,"Box",NA,72,"Retail","Small",2.2969658538484
10894,"Toy Story Train","Disney",21,19.99,15.99,2019,"Ages_2+",8,2,"Box",NA,19,"Retail","Small",2.2969658538484
10713,"Creative Suitcase","Classic",213,19.99,15.99,2018,"Ages_4-99",36,NA,"Plastic box","0.84Kg (1.85 lb)",89,"Retail","Small",2.2969658538484
10771,"Carnival Thrill Coaster","Disney",98,19.99,15.99,2019,"Ages_4+",44,2,"Box",NA,56,"Retail","Small",2.2969658538484
75945,"Expecto Patronum","Harry Potter",121,19.99,15.99,2019,"Ages_7+",48,3,"Box",NA,55,"Retail","Small",2.2969658538484
76147,"Vulture's Trucker Robbery","Marvel",93,19.99,15.99,2020,"Ages_4+",48,3,"Box",NA,62,"Retail","Small",2.2969658538484
76123,"Captain America: Outriders Attack","Marvel",167,19.99,15.99,2019,"Ages_6+",52,3,"Box",NA,75,"Retail","Small",2.2969658538484
70672,"Cole's Dirt Bike","NINJAGO",212,19.99,15.99,2019,"Ages_8+",56,3,"Box",NA,97,"Retail","Small",2.2969658538484
75965,"The Rise of Voldemort","Harry Potter",184,19.99,15.99,2019,"Ages_7+",56,6,"Box",NA,102,"Retail","Small",2.2969658538484
41361,"Mia's Foal Stable","Friends",118,19.99,15.99,2019,"Ages_4+",64,1,NA,"0.29Kg (0.64 lb)",66,NA,"Small",2.2969658538484
70427,"Welcome to the Hidden Side","Hidden Side",189,19.99,15.99,2020,"Ages_7+",68,4,"Box",NA,103,"Retail","Small",2.2969658538484
21140,"The Chicken Coop","Minecraft",198,19.99,15.99,2018,"Ages_7-14",72,1,"Box","0.36Kg (0.79 lb)",90,"Retail","Small",2.2969658538484
21151,"The End Battle","Minecraft",222,19.99,15.99,2019,"Ages_7+",72,2,"Box","0.38Kg (0.84 lb)",91,"Retail","Small",2.2969658538484
60252,"Construction Bulldozer","City",126,19.99,15.99,2020,"Ages_4+",84,2,"Box","0.35Kg (0.78 lb)",81,"Retail","Small",2.2969658538484
76142,"Avengers Speeder Bike Attack","Marvel",226,19.99,15.99,2020,"Ages_6+",104,3,"Box",NA,97,"Retail","Small",2.2969658538484
10859,"My First Ladybird","DUPLO",6,4.99,16,2018,"Ages_1½-3",9,NA,"Box",NA,5,"Retail","Large",2.29739670999407
10886,"My First Car Creations","DUPLO",34,19.99,16,2019,"Ages_1½+",10,NA,NA,"0.64Kg (1.41 lb)",31,NA,"Large",2.29739670999407
60222,"Snow Groomer","City",197,19.99,16,2019,"Ages_6+",60,2,"Box","0.39Kg (0.85 lb)",81,"Retail","Small",2.29739670999407
41165,"Anna's Canoe Expedition","LEGO Frozen 2",108,19.99,16,2019,"Ages_4+",64,2,"Box",NA,61,"Retail","Small",2.29739670999407
60221,"Diving Yacht","City",148,19.99,16,2019,"Ages_5+",64,2,"Box","0.34Kg (0.74 lb)",81,"Retail","Small",2.29739670999407
70823,"Emmet's Thricycle!","THE LEGO MOVIE 2",174,14.99,16,2019,"Ages_7+",84,1,"Box","0.25Kg (0.55 lb)",100,"Retail","Small",2.29739670999407
60220,"Garbage Truck","City",90,19.99,16.36,2019,"Ages_4+",40,2,"Box","0.31Kg (0.69 lb)",52,"Retail","Small",2.31278355057467
43175,"Anna and Elsa's Storybook Adventures","LEGO Frozen 2",133,19.99,16.37,2020,"Ages_5+",3,4,"Box",NA,71,"Retail","Small",2.31320756443773
43176,"Ariel's Storybook Adventures","Disney",105,19.99,16.37,2020,"Ages_5+",3,3,"Box",NA,61,"Retail","Small",2.31320756443773
43177,"Belle's Storybook Adventures","Disney",111,19.99,16.37,2020,"Ages_5+",3,5,"Box",NA,71,"Retail","Small",2.31320756443773
41600,"Aquaman","BrickHeadz",135,9.99,16.49,2018,"Ages_10+",36,NA,"Box",NA,40,NA,"Small",2.31828164496195
60171,"Mountain Fugitives","City",88,9.99,16.49,2018,"Ages_5-12",36,4,"Box",NA,61,"Retail","Small",2.31828164496195
41158,"Jasmine's Petite Tower","Disney",49,9.99,16.75,2019,"Ages_5+",24,1,NA,"0.09Kg (0.2 lb)",35,NA,"Small",2.3291874607867
41251,"Poppy's Pod","Trolls World Tour",103,19.99,16.82,2020,"Ages_4+",68,1,"Box",NA,70,"Retail","Small",2.33210337489613
41250,"Techno Reef Dance Party","Trolls World Tour",173,19.99,16.82,2020,"Ages_5+",72,1,"Box",NA,85,"Retail","Small",2.33210337489613
21141,"The Zombie Cave","Minecraft",241,19.99,16.82,2018,"Ages_7-14",84,3,"Box","0.39Kg (0.86 lb)",88,"Retail","Small",2.33210337489613
41409,"Emma's Play Cube - Toy Store","Friends",49,9.99,16.86,2020,"Ages_6+",5,1,"Box",NA,42,"Retail","Small",2.33376579930368
76092,"Mighty Micros: Batman vs. Harley Quinn",NA,86,9.99,16.94,2018,"Ages_5-12",7,2,"Box",NA,54,"Retail",NA,2.33708238353088
41354,"Andrea's Heart Box","Friends",84,7.99,16.95,2019,"Ages_6+",32,1,NA,"0.14Kg (0.31 lb)",38,NA,"Small",2.33749618512652
60178,"Speed Record Car","City",78,9.99,16.98,2018,"Ages_5-12",40,1,"Box",NA,47,"Retail","Small",2.3387365654606
70428,"Jack's Beach Buggy","Hidden Side",170,19.99,16.99,2020,"Ages_7+",56,3,"Box",NA,98,"Retail","Small",2.33914968465752
21153,"The Wool Farm","Minecraft",260,19.99,16.99,2019,"Ages_7+",80,1,"Box",NA,81,"Retail","Small",2.33914968465752
75269,"Duel on Mustafar","Star Wars",208,19.99,16.99,2020,"Ages_7+",80,2,"Box",NA,84,"Retail","Small",2.33914968465752
70826,"Rex's Rex-treme Offroader!","THE LEGO MOVIE 2",236,29.99,16.99,2019,"Ages_7+",132,2,"Box","0.44Kg (0.97 lb)",109,"Retail","Small",2.33914968465752
31103,"Rocket Truck","Creator 3-in-1",198,19.99,16.99,2020,"Ages_7+",148,NA,"Box",NA,90,"Retail","Small",2.33914968465752
75207,"Imperial Patrol Battle Pack","Star Wars",99,14.99,17.25,2018,"Ages_6-12",36,3,"Box",NA,43,"Retail","Small",2.34983154602268
21158,"The Panda Nursery","Minecraft",204,19.99,17.34,2020,"Ages_7+",48,1,"Box",NA,76,"Retail","Small",2.35350284666978
42091,"Police Pursuit","Technic",120,19.99,17.35,2019,"Ages_7+",114,NA,"Box","0.29Kg (0.64 lb)",39,"Retail","Small",2.35390994493242
71373,"Builder Mario Power-Up Pack","LEGO Super Mario",10,9.99,17.4,2020,"Ages_6+",NA,NA,"Box",NA,8,"Retail","Small",2.35594297624705
70847,"Good Morning Sparkle Babies!","THE LEGO MOVIE 2",50,9.99,17.69,2019,"Ages_6+",32,4,"Box",NA,44,"Retail","Small",2.36765461788776
75549,"Unstoppable Bike Chase","Minions",136,19.99,17.79,2020,"Ages_6+",60,3,"Box",NA,79,"Retail","Small",2.37166194143295
60253,"Ice-Cream Truck","City",200,19.99,17.79,2020,"Ages_5+",100,2,"Box","0.37Kg (0.82 lb)",112,"Retail","Small",2.37166194143295
41355,"Emma's Heart Box","Friends",85,7.99,17.81,2019,"Ages_6+",32,1,NA,"0.14Kg (0.31 lb)",38,NA,"Small",2.3724615128782
41151,"Mulan's Training Day","Disney",104,14.99,17.9,2018,"Ages_5-12",36,1,"Box",NA,62,"Retail","Small",2.37605182671742
10920,"Elsa and Olaf's Tea Party","DUPLO",17,19.99,17.93,2020,"Ages_2+",12,2,"Box",NA,13,"Retail","Large",2.37724578953191
41402,"Olivia's Play Cube - Researcher","Friends",40,9.99,17.97,2020,"Ages_6+",5,1,"Box",NA,34,"Retail","Small",2.37883556662846
41403,"Mia's Play Cube - Veterinarian","Friends",40,9.99,17.97,2020,"Ages_6+",5,1,"Box",NA,32,"Retail","Small",2.37883556662846
41404,"Emma's Play Cube - Photographer","Friends",36,9.99,17.97,2020,"Ages_6+",5,1,"Box",NA,31,"Retail","Small",2.37883556662846
11002,"Basic Brick Set","Classic",300,19.99,17.97,2019,"Ages_4+",66,NA,NA,"0.44Kg (0.97 lb)",93,NA,"Small",2.37883556662846
31090,"Underwater Robot","Creator 3-in-1",207,19.99,17.97,2019,"Ages_7+",140,NA,"Box","0.36Kg (0.79 lb)",81,"Retail","Small",2.37883556662846
31089,"Sunset Track Racer","Creator 3-in-1",221,19.99,17.97,2019,"Ages_7+",144,NA,"Box","0.38Kg (0.84 lb)",81,"Retail","Small",2.37883556662846
41390,"Andrea's Car & Stage","Friends",240,19.99,17.98,2020,"Ages_6+",68,2,"Box",NA,116,"Retail","Small",2.37923262378858
10909,"Heart Box","DUPLO",80,19.99,17.99,2020,"Ages_1½+",2,NA,"Box",NA,39,"Retail","Large",2.3796295263959
10910,"Submarine Adventure","DUPLO",24,19.99,17.99,2019,"Ages_2+",8,2,"Box",NA,22,"Retail","Large",2.3796295263959
10901,"Fire Truck","DUPLO",21,19.99,17.99,2019,"Ages_2+",10,2,"Box","0.45Kg (0.99 lb)",16,"Retail","Large",2.3796295263959
10873,"Minnie's Birthday Party","Disney",21,19.99,17.99,2018,"Ages_2-5",12,1,"Box","0.36Kg (0.79 lb)",18,"Retail","Small",2.3796295263959
10882,"Train Tracks","DUPLO",23,19.99,17.99,2018,"Ages_2-5",16,NA,"Box","0.66Kg (1.45 lb)",9,"Retail","Large",2.3796295263959
70661,"Spinjitzu Zane","NINJAGO",109,9.99,17.99,2019,"Ages_7+",32,1,"Box","0.13Kg (0.29 lb)",21,"Retail","Small",2.3796295263959
41397,"Juice Truck","Friends",103,19.99,17.99,2020,"Ages_4+",52,2,"Box",NA,75,"Retail","Small",2.3796295263959
71701,"Kai's Fire Dragon","NINJAGO",81,19.99,17.99,2020,"Ages_4+",60,2,"Box",NA,48,"Retail","Small",2.3796295263959
60267,"Safari Off-Roader","City",168,19.99,17.99,2020,"Ages_5+",76,2,"Box","0.34Kg (0.76 lb)",86,"Retail","Small",2.3796295263959
41391,"Heartlake City Hair Salon","Friends",235,19.99,17.99,2020,"Ages_6+",84,2,"Box",NA,138,"Retail","Small",2.3796295263959
75265,"T-16 Skyhopper vs Bantha Microfighters","Star Wars",198,19.99,17.99,2020,"Ages_6+",84,2,"Box",NA,100,"Retail","Small",2.3796295263959
71707,"Kai's Mech Jet","NINJAGO",217,19.99,17.99,2020,"Ages_7+",116,2,"Box",NA,94,"Retail","Small",2.3796295263959
60205,"Tracks","City",20,19.99,17.99,2018,"Ages_5-12",NA,NA,"Box","0.32Kg (0.7 lb)",3,"Retail","Small",2.3796295263959
75223,"Naboo Starfighter Microfighter","Star Wars",62,9.99,18.47,2019,"Ages_6+",36,1,"Box","0.08Kg (0.18 lb)",42,"Retail","Small",2.39850190993438
70683,"Spinjitzu Slam - Zane","NINJAGO",63,9.99,18.47,2019,"Ages_7+",40,1,"Box",NA,37,"Retail","Small",2.39850190993438
41401,"Stephanie's Play Cube - Baker","Friends",44,9.99,18.54,2020,"Ages_6+",5,1,"Box",NA,37,"Retail","Small",2.40122534635038
